0.000000, i_d, i_q, i_d_ref, i_q_ref
0.017730, -6, 15, 0, 0
0.017930, -18, 21, 0, 0
0.018130, -5, 2, 0, 0
0.018330, -5, 2, 0, 0
0.018528, 12, -18, 0, 0
0.018730, 27, 11, 0, 0
0.018930, -4, -10, 0, 0
0.019130, 0, 0, 0, 0
0.019330, -8, 35, 0, 0
0.019530, -8, 28, 0, 0
0.019730, 1, -13, 0, 0
0.019930, 27, -56, 0, 0
0.020128, -2, 26, 0, 0
0.020330, -12, 18, 0, 0
0.020530, 5, -2, 0, 0
0.020730, -8, 28, 0, 0
0.020930, -1, 13, 0, 0
0.021130, -7, 28, 0, 0
0.021330, -2, 26, 0, 0
0.021528, -1, 13, 0, 0
0.021730, 41, -19, 0, 0
0.021928, -2, 26, 0, 0
0.022130, 1, -13, 0, 0
0.022330, -4, -10, 0, 0
0.022530, -18, 21, 0, 0
0.022728, 3, 23, 0, 0
0.022930, -4, -10, 0, 0
0.023130, 0, 13, 0, 0
0.023330, 3, 23, 0, 0
0.023530, -5, 2, 0, 0
0.023730, 41, -19, 0, 0
0.023928, 0, 0, 0, 0
0.024130, -18, 21, 0, 0
0.024330, -1, 26, 0, 0
0.024530, 9, 20, 0, 0
0.024728, 39, 6, 0, 0
0.024930, 40, -6, 0, 0
0.025130, 11, -5, 0, 0
0.025330, 41, -19, 0, 0
0.025530, 1, -13, 0, 0
0.025730, 0, 0, 0, 0
0.025928, 1, -13, 0, 0
0.026130, -1, 13, 0, 0
0.026330, -50, 74, 0, 0
0.026530, 0, 0, 0, 0
0.026728, -6, 15, 0, 0
0.026928, 0, 0, 0, 0
0.027130, -8, 28, 0, 0
0.027330, -2, 26, 0, 0
0.027530, 3, 23, 0, 0
0.027730, 5, -2, 0, 0
0.027930, -5, 2, 0, 0
0.028128, 4, 10, 0, 0
0.028328, 9, 20, 0, 0
0.028530, -31, 39, 0, 0
0.028730, 0, 0, 0, 0
0.028930, -2, 26, 0, 0
0.029130, -6, 15, 0, 0
0.029330, -12, 18, 0, 0
0.029528, -6, 15, 0, 0
0.029730, 0, -13, 0, 0
0.029928, -8, 28, 0, 0
0.030130, -5, 2, 0, 0
0.030330, 5, -2, 0, 0
0.030530, -6, 15, 0, 0
0.030728, -5, 2, 0, 0
0.030930, 5, -2, 0, 0
0.031128, -13, 31, 0, 0
0.031330, -14, 31, 0, 0
0.031530, -7, 28, 0, 0
0.031728, 2, -32, 0, 0
0.031930, -4, -10, 0, 0
0.032128, -6, 15, 0, 0
0.032328, -1, 13, 0, 0
0.032530, 0, 0, 0, 0
0.032730, -1, 13, 0, 0
0.032930, 40, -6, 0, 0
0.033130, 1, -13, 0, 0
0.033328, -8, 28, 0, 0
0.033530, 40, -6, 0, 0
0.033730, -7, 28, 0, 0
0.033930, 0, 0, 0, 0
0.034130, 0, 0, 0, 0
0.034330, 135, -64, 0, 0
0.034528, 4, 10, 0, 0
0.034730, -5, 2, 0, 0
0.034930, -12, 18, 0, 0
0.035128, 4, 10, 0, 0
0.035330, -2, 26, 0, 0
0.035530, -4, -10, 0, 0
0.035728, -6, 15, 0, 0
0.035930, -5, 2, 0, 0
0.036130, -5, 2, 0, 0
0.036328, 1, -13, 0, 0
0.036530, -6, 15, 0, 0
0.036728, -1, 13, 0, 0
0.036930, 0, -75, 0, 0
0.037130, 0, -75, 0, 0
0.037330, 1, -13, 0, 0
0.037530, 9, 20, 0, 0
0.037730, -1, 13, 0, 0
0.037930, 39, 6, 0, 0
0.038128, 41, -19, 0, 0
0.038328, -1, 13, 0, 0
0.038530, -5, 2, 0, 0
0.038730, 12, -80, 0, 0
0.038928, 40, -6, 0, 0
0.039130, -4, -10, 0, 0
0.039328, -5, 2, 0, 0
0.039530, 0, 0, 0, 0
0.039930, -1, 13, 0, 0
0.040130, 29, -13, 0, 0
0.040328, -5, 2, 0, 0
0.040530, -7, 15, 0, 0
0.040730, -13, 31, 0, 0
0.040930, 3, 23, 0, 0
0.041130, -5, 2, 0, 0
0.041330, 0, 0, 0, 0
0.041530, -6, 15, 0, 0
0.041730, -4, -10, 0, 0
0.041930, 17, -8, 0, 0
0.042130, 37, -42, 0, 0
0.042330, 1, -13, 0, 0
0.042530, -46, 9, 0, 0
0.042730, -18, 21, 0, 0
0.042928, 63, -17, 0, 0
0.043130, 1, -13, 0, 0
0.043330, -18, 21, 0, 0
0.043528, -12, 18, 0, 0
0.043730, 0, -13, 0, 0
0.043930, -2, 26, 0, 0
0.044128, -2, 26, 0, 0
0.044330, -5, 2, 0, 0
0.044530, 4, 10, 0, 0
0.044730, -7, 28, 0, 0
0.044930, -12, 18, 0, 0
0.045128, 5, -2, 0, 0
0.045330, -7, 28, 0, 0
0.045530, -11, 80, 0, 0
0.045730, 40, -6, 0, 0
0.045930, -6, 15, 0, 0
0.046130, 1, -13, 0, 0
0.046328, -82, 113, 0, 0
0.046530, 0, 0, 0, 0
0.046730, -1, 13, 0, 0
0.046928, 112, -53, 0, 0
0.047128, -4, -10, 0, 0
0.047330, -2, 26, 0, 0
0.047528, -6, 15, 0, 0
0.047730, 11, -5, 0, 0
0.047928, 6, -9, 0, 0
0.048128, 0, 0, 0, 0
0.048330, -5, 2, 0, 0
0.048530, -2, 26, 0, 0
0.048730, -47, 22, 0, 0
0.048928, 0, 0, 0, 0
0.049130, -8, 28, 0, 0
0.049330, -1, 13, 0, 0
0.049530, -4, -10, 0, 0
0.049730, -7, 28, 0, 0
0.049930, 11, -5, 0, 0
0.050128, -12, 12, 0, 0
0.050330, 0, 0, 0, 0
0.050528, -5, 2, 0, 0
0.050730, -1, 13, 0, 0
0.050930, 4, -52, 0, 0
0.051130, -1, 13, 0, 0
0.051328, -6, 9, 0, 0
0.051530, -18, 21, 0, 0
0.051730, -6, 15, 0, 0
0.051928, -7, 15, 0, 0
0.052130, -6, 15, 0, 0
0.052330, 0, 0, 0, 0
0.052528, -1, 13, 0, 0
0.052730, 11, -5, 0, 0
0.052930, 87, -28, 0, 0
0.053130, -5, 2, 0, 0
0.053330, -8, 28, 0, 0
0.053528, -14, 44, 0, 0
0.053730, 0, 0, 0, 0
0.053928, -5, 2, 0, 0
0.054130, -1, 13, 0, 0
0.054330, -20, 47, 0, 0
0.054530, -26, 36, 0, 0
0.054730, -1, 13, 0, 0
0.054928, 0, 6, 0, 0
0.055128, 1, -13, 0, 0
0.055330, -1, 13, 0, 0
0.055528, -15, 44, 0, 0
0.055730, -2, 26, 0, 0
0.055930, -35, 16, 0, 0
0.056130, -1, 13, 0, 0
0.056330, -1, 13, 0, 0
0.056530, -4, -10, 0, 0
0.056730, -5, 2, 0, 0
0.056930, -5, 2, 0, 0
0.057128, -5, 2, 0, 0
0.057330, -9, -95, 0, 0
0.057530, 4, 10, 0, 0
0.057730, 0, 0, 0, 0
0.057930, -7, 15, 0, 0
0.058130, 0, 0, 0, 0
0.058330, 1, -13, 0, 0
0.058530, -6, 15, 0, 0
0.058730, -7, 28, 0, 0
0.058930, -6, 15, 0, 0
0.059130, 11, -5, 0, 0
0.059330, 9, 20, 0, 0
0.059530, -7, 28, 0, 0
0.059730, 0, 13, 0, 0
0.059930, -37, 42, 0, 0
0.060130, -1, 13, 0, 0
0.060330, -6, 15, 0, 0
0.060528, -13, 31, 0, 0
0.060730, -5, 2, 0, 0
0.060928, 0, 0, 0, 0
0.061130, -1, 13, 0, 0
0.061330, -17, 8, 0, 0
0.061530, -1, 13, 0, 0
0.061728, -1, 13, 0, 0
0.061930, 1, -19, 0, 0
0.062128, -4, -10, 0, 0
0.062330, 42, -32, 0, 0
0.062530, -7, 28, 0, 0
0.062728, -6, 15, 0, 0
0.062928, 11, -5, 0, 0
0.063130, -18, 21, 0, 0
0.063330, -7, 28, 0, 0
0.063530, -7, 28, 0, 0
0.063730, -5, 2, 0, 0
